Problem, xomo_flight , Algorithm, SPEA2SC-4096 , GenNo, 1 , PopSize, 100 , Median-HV, 136670515.777 , IQR-HV, 2581014.16985 , Median-spreads, 0.57636550439 , IQR-spreads, 0.0699780306587 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, xomo_flight , Algorithm, SPEA2SC-2048 , GenNo, 1 , PopSize, 100 , Median-HV, 135530582.018 , IQR-HV, 4081724.23063 , Median-spreads, 0.59359021281 , IQR-spreads, 0.0399884499265 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, xomo_flight , Algorithm, SPEA2SC-10000 , GenNo, 1 , PopSize, 100 , Median-HV, 138646858.959 , IQR-HV, 4251194.4226 , Median-spreads, 0.588154284842 , IQR-spreads, 0.0396731112264 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, xomo_flight , Algorithm, NSGAIISC-10000 , GenNo, 1 , PopSize, 100 , Median-HV, 136318374.839 , IQR-HV, 3745764.35177 , Median-spreads, 0.608316747728 , IQR-spreads, 0.0325308597962 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, xomo_all , Algorithm, NSGAII-normal , GenNo, 1 , PopSize, 100 , Median-HV, 137637637.985 , IQR-HV, 2415224.04278 , Median-spreads, 0.603490679476 , IQR-spreads, 0.0323795746203 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, xomo_all , Algorithm, NSGAIISC-8192 , GenNo, 1 , PopSize, 100 , Median-HV, 137958502.876 , IQR-HV, 3333500.669 , Median-spreads, 0.607637583055 , IQR-spreads, 0.0432718798217 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, xomo_all , Algorithm, SPEA2SC-512 , GenNo, 1 , PopSize, 100 , Median-HV, 137812234.442 , IQR-HV, 3028366.65735 , Median-spreads, 0.585537592771 , IQR-spreads, 0.0316582948592 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, xomo_all , Algorithm, NSGAIISC-4096 , GenNo, 1 , PopSize, 100 , Median-HV, 137040213.703 , IQR-HV, 3004573.89572 , Median-spreads, 0.591668151191 , IQR-spreads, 0.0474656251497 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, xomo_all , Algorithm, SPEA2SC-100 , GenNo, 1 , PopSize, 100 , Median-HV, 138461199.401 , IQR-HV, 4010541.20035 , Median-spreads, 0.591837047921 , IQR-spreads, 0.0411697217518 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, xomo_all , Algorithm, NSGAIISC-1024 , GenNo, 1 , PopSize, 100 , Median-HV, 137961660.159 , IQR-HV, 3136810.15225 , Median-spreads, 0.600778372781 , IQR-spreads, 0.065652888453 , Median-PFS, 100.0 , IQR-PFS, 0.0
